"leaid","neighbor_leaid"
"0611760","0632430"
"0611760","0630630"
"0611760","0611550"
"0611760","0609510"
"0611760","0639060"
"0611760","0610890"
"0611760","0635940"
"0611760","0601980"
"0611760","0631350"
"0611760","0602010"
"0630630","0610860"
"0630630","0606107"
"0630630","0639300"
"0630630","0611760"
"0630630","0635940"
"0630630","0631050"
"0630630","0609690"
"0630630","0602010"
"0611550","0610860"
"0611550","0619540"
"0611550","0632430"
"0611550","0611760"
"0611550","0639060"
"0611550","0617640"
"0611550","0605250"
"0611550","0610890"
"0611550","0621900"
"0609510","0632430"
"0609510","0611760"
"0609510","0610890"
"0643170","0639930"
"0643170","0639300"
"0643170","0638430"
"0643170","0639870"
"0643170","0633270"
"0643170","0631050"
"0639060","0610860"
"0639060","0611760"
"0639060","0611550"
"0639060","0633270"
"0639060","0617640"
"0639060","0635940"
"0639060","0631050"
"0639060","0617520"
"0639060","0600064"
"0629160","0639930"
"0629160","0638340"
"0629160","0601423"
"0629160","0621870"
"0629160","0600035"
"0629160","0641160"
"0637770","0606026"
"0637770","0639210"
"0637770","0638130"
"0637770","0622440"
"0637770","0601423"
"0637770","0600064"
"0633270","0638430"
"0633270","0643170"
"0633270","0639060"
"0633270","0606570"
"0633270","0631050"
"0633270","0617520"
"0633270","0600064"
"0617640","0619540"
"0617640","0611550"
"0617640","0639060"
"0617640","0619590"
"0617640","0637470"
"0617640","0621900"
"0617640","0636800"
"0617640","0622440"
"0617640","0600064"
"0601427","0642350"
"0601427","0642330"
"0601427","0600012"
"0601427","0608880"
"0601427","0615780"
"0601427","0624090"
"0601420","0699006"
"0601420","0618120"
"0601420","0622320"
"0601420","0632730"
"0601420","0636100"
"0601420","0637350"
"0601420","0600037"
"0626130","0621600"
"0626130","0606031"
"0626130","0618840"
"0626130","0606750"
"0626130","0622110"
"0626130","0601410"
"0623970","0637260"
"0623970","0699013"
"0623970","0640680"
"0623970","0640800"
"0623970","0609480"
"0623970","0618690"
"0623970","0620010"
"0623970","0606870"
"0640680","0637260"
"0640680","0638280"
"0640680","0623970"
"0640680","0609480"
"0640680","0640200"
"0640680","0602450"
"0640680","0606870"
"0640680","0602070"
"0632160","0620910"
"0632160","0624870"
"0632160","0634410"
"0633660","0635110"
"0633660","0600006"
"0633660","0619380"
"0633660","0635090"
"0635090","0638790"
"0635090","0600006"
"0635090","0611220"
"0635090","0619380"
"0635090","0633660"
"0636000","0624870"
"0636000","0634410"
"0612090","0606037"
"0612090","0614940"
"0612090","0633570"
"0612090","0626190"
"0612090","0640650"
"0612090","0603690"
"0612090","0625320"
"0612090","0611520"
"0612090","0638980"
"0612090","0602970"
"0614940","0612120"
"0614940","0612090"
